Date,YMAX,YMAG,VIX,VVIX,QQQ
1/31/2024,20.2,19.49,14.35000038,87.55999756,414.5067444
2/1/2024,20.39,19.75,13.88000011,84.83000183,419.3877258
2/2/2024,20.7,20.3,13.85000038,83.30999756,426.4756165
2/5/2024,20.44,20.19,13.67000008,79.58000183,425.9189453
2/6/2024,20.61,20.2,13.06000042,76.97000122,425.0639648
2/7/2024,20.78,20.47,12.82999992,80.54000092,429.4380188
2/8/2024,20.8,20.49,12.78999996,83.06999969,430.2332764
2/9/2024,20.78,20.62,12.93000031,81.94000244,434.4680786
2/12/2024,20.93,20.52,13.93000031,84.62999725,432.7681885
2/13/2024,20.57,20.23,15.85000038,93.19000244,426.01828
2/14/2024,21.01,20.46,14.38000011,83.16999817,430.6607361
2/15/2024,20.69,20.09,14.01000023,82.40000153,431.9430847
2/16/2024,20.59,20.01,14.23999977,82.62999725,428.0263977
2/20/2024,20.2,19.8,15.42000008,86.09999847,424.7955933
2/21/2024,20.07,19.79,15.34000015,84.66000366,423.0956726
2/22/2024,20.75,20.62,14.53999996,80.87999725,435.4820557
2/23/2024,20.91,20.62,13.75,78.86000061,434.1996765
2/26/2024,20.98,20.51,13.73999977,80.5,433.9710388
2/27/2024,21.18,20.64,13.43000031,78.54000092,435.0148621
2/28/2024,21.22,20.56,13.84000015,80.36000061,432.6986389
2/29/2024,21.55,20.8,13.39999962,77.44999695,436.4065857
3/1/2024,21.67,21,13.10999966,77.68000031,442.9775085
3/4/2024,21.6,20.74,13.48999977,79.41000366,441.3969116
3/5/2024,21.17,20.41,14.46000004,83.91000366,433.4739685
3/6/2024,21.38,20.37,14.5,83.11000061,436.1978149
3/7/2024,21.65,20.65,14.43999958,82.12999725,442.818512
3/8/2024,21.62,20.44,14.73999977,86.55999756,436.4264526
3/11/2024,21.6,20.32,15.22000027,88.97000122,434.8061218
3/12/2024,21.87,20.77,13.84000015,83.76000214,441.0390625
3/13/2024,21.81,20.66,13.75,86.26999664,437.649231
3/14/2024,20.9,19.94,14.39999962,88.75,436.5457764
3/15/2024,20.94,19.86,14.40999985,92.16999817,431.3565979
3/18/2024,21.16,20.11,14.32999992,86.77999878,435.4706421
3/19/2024,21.11,20.24,13.81999969,83.90000153,436.555603
3/20/2024,21.31,20.4,13.03999996,78.87000275,441.7317505
3/21/2024,21.44,20.42,12.92000008,77.30000305,443.8220825
3/22/2024,21.43,20.59,13.06000042,76.48999786,444.3297424
3/25/2024,21.65,20.55,13.18999958,76.59999847,442.7171631
3/26/2024,21.62,20.47,13.23999977,76.76999664,441.283783
3/27/2024,21.64,20.49,12.77999973,76,442.7868652
3/28/2024,21.68,20.46,13.01000023,76.56999969,441.9706421
4/1/2024,21.6,20.54,13.64999962,78.44999695,442.906311
4/2/2024,21.41,20.38,14.60999966,82.76000214,439.0839233
4/3/2024,21.47,20.42,14.32999992,81.08000183,440.0694275
4/4/2024,21.17,20.33,16.35000038,90.04000092,433.3404541
4/5/2024,21.34,20.46,16.03000069,90.58000183,438.4468994
4/8/2024,21.49,20.61,15.18999958,86.26000214,438.5763245
4/9/2024,21.52,20.64,14.97999954,84.44999695,440.198822
4/10/2024,21.43,20.63,15.80000019,91.76000214,436.3565369
4/11/2024,21.68,20.95,14.90999985,89.40000153,443.3243713
4/12/2024,21.28,20.68,17.30999947,102.7200012,436.2569885
4/15/2024,20.81,20.36,19.22999954,109.6399994,429.0801086
4/16/2024,20.73,20.27,18.39999962,99.25,429.1199341
4/17/2024,19.92,19.46,18.20999908,98.76000214,423.8840637
4/18/2024,19.85,19.34,18,95.98999786,421.465271
4/19/2024,19.38,18.78,18.70999908,99.08999634,412.7454529
4/22/2024,19.69,18.94,16.94000053,89.54000092,416.8963318
4/23/2024,20.01,19.26,15.68999958,82.36000061,423.1176147
4/24/2024,20.06,19.5,15.97000027,83.61000061,424.5510254
4/25/2024,19.96,19.19,15.36999989,82.54000092,422.5004883
4/26/2024,20.22,19.6,15.02999973,79.55999756,429.0203857
4/29/2024,20.31,19.78,14.67000008,78.22000122,430.7623596
4/30/2024,19.92,19.48,15.64999962,81.81999969,422.6398315
5/1/2024,19.79,19.54,15.39000034,81.93000031,419.5838928
5/2/2024,20.21,19.82,14.68000031,78.58999634,424.939209
5/3/2024,20.46,20.18,13.48999977,74.56999969,433.4798279
5/6/2024,20.68,20.37,13.48999977,73.45999908,438.2279053
5/7/2024,20.52,20.3,13.22999954,74.54000092,438.2975769
5/8/2024,20.45,20.28,13,74.5,438.0387878
5/9/2024,20.51,20.25,12.68999958,73.76999664,438.9943542
5/10/2024,20.29,20.22,12.55000019,73.26000214,440.0296021
5/13/2024,20.45,20.29,13.60000038,77.55000305,441.0448914
5/14/2024,20.63,20.46,13.42000008,77.65000153,443.8818359
5/15/2024,20.06,19.92,12.44999981,76.30999756,450.8197937
5/16/2024,20.03,19.94,12.42000008,77.73999786,449.9040222
5/17/2024,20.17,20,11.98999977,78.43000031,449.6850281
5/20/2024,20.34,20.03,12.14999962,79.44999695,452.8205872
5/21/2024,20.37,20.17,11.85999966,77.62000275,453.7064514
5/22/2024,20.22,20.15,12.28999996,79.95999908,453.6168823
5/23/2024,19.94,19.99,12.77000046,84.62000275,451.5763245
5/24/2024,20.26,20.36,11.93000031,79.08999634,455.8466492
5/28/2024,20.3,20.34,12.92000008,81.63999939,457.5686646
5/29/2024,20.19,20.41,14.27999973,83.79000092,454.3435364
5/30/2024,20.2,20.21,14.47000027,83.44000244,449.4759827
5/31/2024,20.11,20.16,12.92000008,78.26999664,448.6398315
6/3/2024,20.21,20.31,13.10999966,78.79000092,451.0487671
6/4/2024,20.26,20.33,13.15999985,77.65000153,452.2830505
6/5/2024,20.45,20.6,12.63000011,75.23999786,461.4009705
6/6/2024,20.52,20.66,12.57999992,77.91000366,461.2416992
6/7/2024,20.42,20.63,12.22000027,76.65000153,460.8335876
6/10/2024,20.51,20.72,12.73999977,78.97000122,462.6949768
6/11/2024,20.44,20.86,12.85000038,79.94999695,465.8703308
6/12/2024,20.62,21.03,12.03999996,77.59999847,471.972168
6/13/2024,20.42,21.08,11.93999958,78.19999695,474.5303955
6/14/2024,19.59,20.49,12.65999985,83.72000122,476.9890442
6/17/2024,19.67,20.68,12.75,83.33999634,482.8320923
