Date,Open,High,Low,Close,Volume
20250203,18.18,18.34,18.02,18.29,8735
20250204,18.37,18.55,18.29,18.55,4487
20250205,18.37,18.4,18.24,18.4,9207
20250206,18.21,18.29,18.14,18.29,4663
20250207,18.24,18.34,18.0,18.07,9264
20250210,18.13,18.21,18.07,18.07,7731
20250211,18.07,18.12,17.95,18.01,6606
20250212,17.91,18.09,17.85,18.04,7260
20250213,18.05,18.21,17.99,18.19,5526
20250214,18.18,18.28,18.17,18.26,6324
20250218,18.33,18.34,18.06,18.21,7606
20250219,18.18,18.25,18.11,18.25,4294
20250220,18.11,18.13,17.92,18.1,3889
20250221,18.09,18.12,17.67,17.71,7084
20250224,17.8,17.86,17.44,17.47,7955
20250225,17.43,17.44,16.9,17.08,10198
20250226,17.14,17.32,16.99,17.08,3443
20250227,17.03,17.11,16.44,16.48,6119
20250228,16.37,16.78,16.24,16.78,6071
20250303,16.9,16.9,16.15,16.32,5725
20250304,16.05,16.5,15.86,16.21,5323
