time,open,high,low,close
2023-02-22T15:30:00Z,23.13,23.31,22.73,22.76
2023-02-22T16:00:00Z,22.78,22.97,22.69,22.74
2023-02-22T16:30:00Z,22.73,22.76,22.56,22.56
2023-02-22T17:00:00Z,22.59,22.62,22.19,22.23
2023-02-22T17:30:00Z,22.26,22.26,22.09,22.23
2023-02-22T18:00:00Z,22.22,22.26,22.02,22.06
2023-02-22T18:30:00Z,22.07,22.32,22.07,22.3
2023-02-22T19:00:00Z,22.29,22.56,22.03,22.33
2023-02-22T19:30:00Z,22.35,22.8,22.35,22.73
2023-02-22T20:00:00Z,22.75,22.82,22.35,22.59
2023-02-22T20:30:00Z,22.6,22.81,22.35,22.35
2023-02-22T21:00:00Z,22.33,22.33,22.26,22.29
2023-02-23T14:30:00Z,21.55,21.63,21.19,21.27
2023-02-23T15:00:00Z,21.25,21.53,21.18,21.25
2023-02-23T15:30:00Z,21.26,21.79,21.18,21.72
2023-02-23T16:00:00Z,21.71,22.03,21.55,21.99
2023-02-23T16:30:00Z,22,22.41,21.96,22.41
2023-02-23T17:00:00Z,22.4,22.43,22.12,22.18
2023-02-23T17:30:00Z,22.17,22.22,21.84,21.84
2023-02-23T18:00:00Z,21.83,21.98,21.76,21.82
2023-02-23T18:30:00Z,21.81,21.88,21.59,21.65
2023-02-23T19:00:00Z,21.63,21.69,21.31,21.31
2023-02-23T19:30:00Z,21.32,21.32,21.11,21.19
2023-02-23T20:00:00Z,21.18,21.18,20.93,20.94
2023-02-23T20:30:00Z,20.93,21.15,20.89,21.11
2023-02-23T21:00:00Z,21.13,21.15,21.1,21.14
2023-02-24T14:30:00Z,22.27,22.9,22.21,22.76
2023-02-24T15:00:00Z,22.71,22.87,22.31,22.78
2023-02-24T15:30:00Z,22.76,22.89,22.65,22.77
2023-02-24T16:00:00Z,22.75,22.75,22.14,22.16
2023-02-24T16:30:00Z,22.19,22.23,21.68,21.95
2023-02-24T17:00:00Z,21.93,22.14,21.92,22.04
2023-02-24T17:30:00Z,22.05,22.27,21.93,22.25
2023-02-24T18:00:00Z,22.28,22.35,21.97,21.99
2023-02-24T18:30:00Z,22.05,22.24,21.83,21.87
2023-02-24T19:00:00Z,21.86,21.87,21.72,21.83
2023-02-24T19:30:00Z,21.84,21.99,21.52,21.56
2023-02-24T20:00:00Z,21.58,21.66,21.5,21.66
2023-02-24T20:30:00Z,21.67,21.98,21.57,21.6
2023-02-24T21:00:00Z,21.56,21.69,21.56,21.67
2023-02-27T14:30:00Z,21.39,21.4,20.83,20.83
2023-02-27T15:00:00Z,20.84,20.88,20.68,20.88
2023-02-27T15:30:00Z,20.9,21.25,20.84,21.12
2023-02-27T16:00:00Z,21.1,21.26,20.93,21.25
2023-02-27T16:30:00Z,21.24,21.41,21.09,21.11
2023-02-27T17:00:00Z,21.12,21.25,21.08,21.11
2023-02-27T17:30:00Z,21.1,21.1,20.96,20.97
2023-02-27T18:00:00Z,20.96,20.99,20.87,20.97
2023-02-27T18:30:00Z,20.95,21.11,20.94,20.96
2023-02-27T19:00:00Z,20.94,21.02,20.85,20.91
2023-02-27T19:30:00Z,20.92,21.04,20.86,21.01
2023-02-27T20:00:00Z,21.04,21.19,21.01,21.13
2023-02-27T20:30:00Z,21.12,21.29,20.95,20.96
2023-02-27T21:00:00Z,20.93,20.95,20.91,20.95
2023-02-28T14:30:00Z,21.12,21.21,20.77,20.83
2023-02-28T15:00:00Z,20.86,20.98,20.7,20.97
2023-02-28T15:30:00Z,20.96,20.99,20.75,20.75
2023-02-28T16:00:00Z,20.73,20.73,20.38,20.42
2023-02-28T16:30:00Z,20.43,20.58,20.41,20.53
2023-02-28T17:00:00Z,20.52,20.54,20.32,20.38
2023-02-28T17:30:00Z,20.37,20.45,20.31,20.33
2023-02-28T18:00:00Z,20.34,20.34,20.22,20.22
2023-02-28T18:30:00Z,20.19,20.28,20.16,20.17
2023-02-28T19:00:00Z,20.16,20.32,20.11,20.32
2023-02-28T19:30:00Z,20.31,20.38,20.1,20.27
2023-02-28T20:00:00Z,20.29,20.37,20.27,20.33
2023-02-28T20:30:00Z,20.34,20.52,20.32,20.43
2023-02-28T21:00:00Z,20.53,20.7,20.53,20.7
2023-03-01T14:30:00Z,20.73,20.87,20.26,20.39
2023-03-01T15:00:00Z,20.41,20.91,20.32,20.76
2023-03-01T15:30:00Z,20.78,20.88,20.51,20.54
2023-03-01T16:00:00Z,20.56,21.32,20.56,21
2023-03-01T16:30:00Z,21.03,21.05,20.65,20.68
2023-03-01T17:00:00Z,20.69,20.71,20.41,20.55
2023-03-01T17:30:00Z,20.52,20.63,20.47,20.61
2023-03-01T18:00:00Z,20.63,20.8,20.63,20.78
2023-03-01T18:30:00Z,20.8,20.85,20.72,20.73
2023-03-01T19:00:00Z,20.74,20.91,20.7,20.91
2023-03-01T19:30:00Z,20.93,21.05,20.83,20.83
2023-03-01T20:00:00Z,20.86,20.86,20.64,20.76
2023-03-01T20:30:00Z,20.74,20.75,20.54,20.67
2023-03-01T21:00:00Z,20.63,20.68,20.57,20.58
2023-03-02T14:30:00Z,21.02,21.09,20.68,20.73
2023-03-02T15:00:00Z,20.74,20.83,20.58,20.61
2023-03-02T15:30:00Z,20.6,20.62,20.42,20.42
2023-03-02T16:00:00Z,20.43,20.44,20.26,20.4
2023-03-02T16:30:00Z,20.41,20.42,20.32,20.36
2023-03-02T17:00:00Z,20.35,20.47,20.33,20.43
2023-03-02T17:30:00Z,20.44,20.44,20.33,20.34
2023-03-02T18:00:00Z,20.33,20.38,20.24,20.27
2023-03-02T18:30:00Z,20.26,20.27,19.9,19.9
2023-03-02T19:00:00Z,19.89,19.89,19.74,19.75
2023-03-02T19:30:00Z,19.76,19.87,19.75,19.8
2023-03-02T20:00:00Z,19.82,19.87,19.76,19.77
