time,open,high,low,close
2020-08-06T13:30:00Z,23.21,23.59,22.82,22.87
2020-08-06T17:30:00Z,22.85,22.89,22.49,22.65
2020-08-07T13:30:00Z,23.53,23.53,22.02,22.48
2020-08-07T17:30:00Z,22.51,23.31,22.08,22.21
2020-08-10T13:30:00Z,22.58,23.52,22.16,22.22
2020-08-10T17:30:00Z,22.19,22.35,21.93,22.13
2020-08-11T13:30:00Z,21.39,22.28,21.36,21.62
2020-08-11T17:30:00Z,21.65,24.93,21.52,24.03
2020-08-12T13:30:00Z,22.24,22.57,21.77,22.33
2020-08-12T17:30:00Z,22.29,22.42,21.86,22.28
2020-08-13T13:30:00Z,22.37,22.39,21.45,21.76
2020-08-13T17:30:00Z,21.75,22.92,21.59,22.13
2020-08-14T13:30:00Z,22.71,22.88,21.95,21.98
2020-08-14T17:30:00Z,21.97,22.6,21.79,22.05
2020-08-17T13:30:00Z,22.32,22.33,21.74,21.88
2020-08-17T17:30:00Z,21.87,21.89,21.34,21.35
2020-08-18T13:30:00Z,21.39,22.55,21.2,21.45
2020-08-18T17:30:00Z,21.46,21.71,21.27,21.51
2020-08-19T13:30:00Z,21.85,21.89,21.45,21.52
2020-08-19T17:30:00Z,21.5,22.98,20.99,22.54
2020-08-20T13:30:00Z,24.52,24.52,22.95,23.07
2020-08-20T17:30:00Z,23.04,23.13,22.37,22.72
2020-08-21T13:30:00Z,23.08,23.42,22.48,22.75
2020-08-21T17:30:00Z,22.78,22.78,22.06,22.54
2020-08-24T13:30:00Z,22.41,23.18,22.25,22.46
2020-08-24T17:30:00Z,22.47,22.98,22.25,22.37
2020-08-25T13:30:00Z,22.77,23.43,22.55,22.57
2020-08-25T17:30:00Z,22.56,22.77,21.97,22.03
2020-08-26T13:30:00Z,22.13,22.23,21.44,21.86
2020-08-26T17:30:00Z,21.88,23.27,21.87,23.27
2020-08-27T13:30:00Z,23.14,27.09,22.85,24.79
2020-08-27T17:30:00Z,24.77,25.58,24.02,24.47
2020-08-28T13:30:00Z,25.27,26.3,23.85,24.14
