time,open,high,low,close
2023-07-31T19:30:00Z,86.89,87.93,86.89,87.16
2023-07-31T20:00:00Z,87.07,87.13,86.53,86.63
2023-08-01T13:30:00Z,89.11,89.15,88,88.06
2023-08-01T14:00:00Z,88.1,88.93,87.62,88.81
2023-08-01T14:30:00Z,88.8,88.85,88.29,88.83
2023-08-01T15:00:00Z,88.82,89.03,88.53,88.53
2023-08-01T15:30:00Z,88.52,89.19,88.51,88.74
2023-08-01T16:00:00Z,88.73,88.99,88.49,88.69
2023-08-01T16:30:00Z,88.76,88.78,88.21,88.21
2023-08-01T17:00:00Z,88.17,88.32,87.99,88.02
2023-08-01T17:30:00Z,88.03,88.17,87.66,87.67
2023-08-01T18:00:00Z,87.62,87.63,87.27,87.38
2023-08-01T18:30:00Z,87.37,87.38,87.09,87.14
2023-08-01T19:00:00Z,86.96,87.06,86.86,87.05
2023-08-01T19:30:00Z,87.06,87.49,87.02,87.09
2023-08-01T20:00:00Z,87.1,87.55,87.02,87.55
2023-08-02T13:30:00Z,92.92,95.52,92.92,95.17
2023-08-02T14:00:00Z,95.13,98.09,95.02,97.86
2023-08-02T14:30:00Z,97.87,101.32,97.67,101.32
2023-08-02T15:00:00Z,101.25,101.5,98.16,98.39
2023-08-02T15:30:00Z,98.41,99.52,97.83,99.5
2023-08-02T16:00:00Z,99.95,100.35,99.45,100.01
2023-08-02T16:30:00Z,99.99,100.29,98.97,99.57
2023-08-02T17:00:00Z,99.56,100.35,98.79,100.24
2023-08-02T17:30:00Z,100.18,100.41,99.14,100.3
2023-08-02T18:00:00Z,100.26,100.39,99.82,99.84
2023-08-02T18:30:00Z,99.85,100.15,99.35,99.35
2023-08-02T19:00:00Z,99.33,99.54,98.48,99.46
2023-08-02T19:30:00Z,99.45,99.54,95.81,95.81
2023-08-02T20:00:00Z,96.14,96.44,95.82,96.11
2023-08-03T13:30:00Z,100.58,102.24,100.38,100.64
2023-08-03T14:00:00Z,100.65,101.59,99.81,101.52
2023-08-03T14:30:00Z,101.72,101.76,100.01,100.51
2023-08-03T15:00:00Z,100.44,100.44,97.95,97.99
2023-08-03T15:30:00Z,98.2,98.2,96.23,97.03
2023-08-03T16:00:00Z,97.04,97.09,95.57,95.77
2023-08-03T16:30:00Z,95.69,95.69,94.66,94.75
2023-08-03T17:00:00Z,94.79,94.86,93.99,94.23
2023-08-03T17:30:00Z,94.2,95.61,94.1,95.61
2023-08-03T18:00:00Z,95.64,95.92,95,95.15
2023-08-03T18:30:00Z,95.16,95.92,94.94,95.05
2023-08-03T19:00:00Z,94.99,96.17,94.82,95.29
2023-08-03T19:30:00Z,95.25,95.67,94.56,95.12
2023-08-03T20:00:00Z,95.08,95.55,94.01,94.13
2023-08-04T13:30:00Z,91.37,91.51,89.12,91.48
2023-08-04T14:00:00Z,91.49,93.38,91.41,91.41
2023-08-04T14:30:00Z,91.42,91.73,91,91.4
2023-08-04T15:00:00Z,91.41,91.61,91.12,91.37
2023-08-04T15:30:00Z,91.38,91.48,90.95,91.19
2023-08-04T16:00:00Z,91.18,91.39,90.71,90.73
2023-08-04T16:30:00Z,90.89,90.95,90.47,90.7
2023-08-04T17:00:00Z,90.68,91.18,90.61,91.03
2023-08-04T17:30:00Z,90.99,92.3,90.89,92.19
2023-08-04T18:00:00Z,92.22,95.27,92.22,94.79
2023-08-04T18:30:00Z,94.94,99.95,94.87,99.81
2023-08-04T19:00:00Z,99.86,101.33,99.49,101.1
2023-08-04T19:30:00Z,101.13,102,99.73,99.76
2023-08-04T20:00:00Z,99.66,100.08,99.55,99.7
2023-08-07T13:30:00Z,99.68,100.02,98.66,99.42
2023-08-07T14:00:00Z,99.34,99.87,97.17,97.31
2023-08-07T14:30:00Z,97.22,97.93,97.11,97.6
2023-08-07T15:00:00Z,97.7,98.29,97.43,97.94
2023-08-07T15:30:00Z,97.86,98.51,96.92,97.01
2023-08-07T16:00:00Z,96.94,97.09,96.68,96.74
2023-08-07T16:30:00Z,96.72,97.04,95.95,95.97
2023-08-07T17:00:00Z,95.88,96.1,95.57,95.85
2023-08-07T17:30:00Z,95.86,96.09,94.59,94.59
2023-08-07T18:00:00Z,94.58,94.79,94.23,94.67
2023-08-07T18:30:00Z,94.68,94.68,93.36,93.47
2023-08-07T19:00:00Z,93.41,94.07,93.31,94.05
2023-08-07T19:30:00Z,94.06,94.27,92.84,93.02
2023-08-07T20:00:00Z,92.93,92.95,92.88,92.93
2023-08-08T13:30:00Z,97.73,102.7,97.66,102.49
2023-08-08T14:00:00Z,102.56,105.13,102.56,103.89
2023-08-08T14:30:00Z,103.87,104.29,102.76,103.81
2023-08-08T15:00:00Z,103.77,104.23,102.2,102.21
2023-08-08T15:30:00Z,102.2,102.94,102.1,102.91
2023-08-08T16:00:00Z,102.96,102.96,100.67,100.77
2023-08-08T16:30:00Z,100.8,100.89,100,100
2023-08-08T17:00:00Z,100.02,100.02,98.07,98.58
2023-08-08T17:30:00Z,98.55,98.79,97.67,97.8
2023-08-08T18:00:00Z,97.79,98.06,96.32,96.32
2023-08-08T18:30:00Z,96.34,97.13,95.77,96.19
2023-08-08T19:00:00Z,96.21,96.28,95.56,95.57
2023-08-08T19:30:00Z,95.67,95.99,95.07,95.15
2023-08-08T20:00:00Z,95.18,95.57,94.91,94.91
2023-08-09T13:30:00Z,100.05,101.46,99.14,100.61
2023-08-09T14:00:00Z,100.65,100.65,99.42,99.78
2023-08-09T14:30:00Z,99.77,101.56,99.68,101.56
2023-08-09T15:00:00Z,101.88,105.85,101.66,105.76
2023-08-09T15:30:00Z,105.72,106.52,104.52,106.02
2023-08-09T16:00:00Z,106.11,106.37,104.55,105.33
2023-08-09T16:30:00Z,105.4,105.46,102.95,103.4
2023-08-09T17:00:00Z,103.5,103.82,100.96,101
2023-08-09T17:30:00Z,101.02,101.02,99.34,99.67
2023-08-09T18:00:00Z,99.66,99.72,97.96,98
2023-08-09T18:30:00Z,97.93,97.97,97.22,97.59
2023-08-09T19:00:00Z,97.6,97.76,96.48,97.46
2023-08-09T19:30:00Z,97.25,98.79,96.76,98.6
2023-08-09T20:00:00Z,98.54,98.59,97.23,97.3
2023-08-10T13:30:00Z,93.14,93.14,90.81,91.1
2023-08-10T14:00:00Z,91.16,96.57,90.01,96.02
2023-08-10T14:30:00Z,96.16,99.72,95.86,98.11
2023-08-10T15:00:00Z,98.1,100.17,98.1,99.06
2023-08-10T15:30:00Z,99.03,101.08,98.29,101.08
2023-08-10T16:00:00Z,100.93,101.65,100.61,101.06
2023-08-10T16:30:00Z,101.05,102.22,99.63,102.03
2023-08-10T17:00:00Z,101.76,102.45,100.85,102.04
2023-08-10T17:30:00Z,101.97,104.72,101.9,104.21
2023-08-10T18:00:00Z,104.39,104.47,101.26,101.92
2023-08-10T18:30:00Z,102.03,102.84,99.55,99.7
2023-08-10T19:00:00Z,99.55,100.49,98.61,99.89
2023-08-10T19:30:00Z,99.73,101.09,99.73,100.08
2023-08-10T20:00:00Z,99.92,100.06,99.7,99.82
2023-08-11T13:30:00Z,101.57,103.57,99.84,102.68
2023-08-11T14:00:00Z,102.75,102.75,99.42,100.07
2023-08-11T14:30:00Z,99.85,100.76,99.3,100.73
2023-08-11T15:00:00Z,100.6,101.89,100.07,101.1
2023-08-11T15:30:00Z,101.23,101.65,100.54,100.58
2023-08-11T16:00:00Z,100.51,100.51,99.69,100.09
2023-08-11T16:30:00Z,99.86,100.63,99.81,100.14
2023-08-11T17:00:00Z,100.21,100.21,96.92,97.07
2023-08-11T17:30:00Z,96.96,100.54,96.52,100.19
2023-08-11T18:00:00Z,100.14,100.23,98.82,98.83
2023-08-11T18:30:00Z,98.85,99.04,98.29,98.98
2023-08-11T19:00:00Z,99.02,99.52,97.85,97.92
2023-08-11T19:30:00Z,97.91,98.61,97.3,97.54
2023-08-11T20:00:00Z,97.38,97.5,96.64,96.64
2023-08-14T13:30:00Z,100.43,101.21,99.54,100.84
2023-08-14T14:00:00Z,100.8,100.95,97.05,97.27
2023-08-14T14:30:00Z,97.2,97.2,95.38,95.42
2023-08-14T15:00:00Z,95.31,96.17,95.31,95.71
2023-08-14T15:30:00Z,95.7,95.96,93.57,94.57
2023-08-14T16:00:00Z,94.6,95.72,93.88,95.68
2023-08-14T16:30:00Z,95.75,96.7,95.57,96.56
2023-08-14T17:00:00Z,96.58,96.85,96.38,96.6
2023-08-14T17:30:00Z,96.57,97.23,96.52,96.84
2023-08-14T18:00:00Z,96.68,97.32,96.39,97.17
2023-08-14T18:30:00Z,97.15,97.97,97.08,97.25
2023-08-14T19:00:00Z,97.26,97.34,96.8,96.85
2023-08-14T19:30:00Z,96.82,96.9,95.46,95.46
2023-08-14T20:00:00Z,95.38,95.47,95.17,95.3
2023-08-15T13:30:00Z,98.4,100.46,98.05,100.32
2023-08-15T14:00:00Z,100.22,101.92,100.21,101.38
2023-08-15T14:30:00Z,101.36,102.78,101.36,102.24
2023-08-15T15:00:00Z,102.23,102.23,100.38,100.38
2023-08-15T15:30:00Z,100.58,100.58,99.21,99.21
2023-08-15T16:00:00Z,99.23,100.82,99.23,99.9
2023-08-15T16:30:00Z,99.83,100.35,99.6,99.81
2023-08-15T17:00:00Z,99.76,100.21,99.01,99.1
2023-08-15T17:30:00Z,99.12,101.19,99.12,101.07
2023-08-15T18:00:00Z,101.16,102.41,100.91,102.18
2023-08-15T18:30:00Z,102.14,102.14,100.3,100.38
2023-08-15T19:00:00Z,100.27,101.51,99.57,101.51
2023-08-15T19:30:00Z,101.59,102.82,101.35,102.76
2023-08-15T20:00:00Z,103.02,103.41,102.92,103.29
2023-08-16T13:30:00Z,102.58,102.88,101.52,102.73
2023-08-16T14:00:00Z,102.71,103.25,101.48,101.93
2023-08-16T14:30:00Z,101.97,102.38,100.54,100.54
2023-08-16T15:00:00Z,100.48,100.91,100.39,100.72
2023-08-16T15:30:00Z,100.65,102.09,100.27,101.39
2023-08-16T16:00:00Z,101.34,102.84,100.86,102.83
2023-08-16T16:30:00Z,102.75,103.06,101.82,101.91
2023-08-16T17:00:00Z,101.81,102.72,101.55,102.05
2023-08-16T17:30:00Z,102.07,102.36,101.05,101.13
2023-08-16T18:00:00Z,101.01,102.35,100.02,100.53
2023-08-16T18:30:00Z,100.5,101.75,100.27,101.51
2023-08-16T19:00:00Z,101.47,103.81,101.42,103.49
2023-08-16T19:30:00Z,103.55,104.84,102.43,104.84
2023-08-16T20:00:00Z,104.8,104.99,104.4,104.56
2023-08-17T13:30:00Z,103.53,103.98,102.19,102.88
2023-08-17T14:00:00Z,102.94,103.68,102.67,103.59
