time,open,high,low,close
2020-08-05T17:30:00Z,105.68,105.84,105.04,105.67
2020-08-06T13:30:00Z,106.06,106.83,105.17,105.96
2020-08-06T17:30:00Z,105.99,106.27,105.52,105.84
2020-08-07T13:30:00Z,107.62,107.79,105.15,106.65
2020-08-07T17:30:00Z,106.68,110,106.16,108.18
2020-08-10T13:30:00Z,110.45,113.28,109.41,110.14
2020-08-10T17:30:00Z,110.13,111.13,109.13,111.13
2020-08-11T13:30:00Z,107.09,111.54,107.09,110.57
2020-08-11T17:30:00Z,110.68,121.59,110.42,118.34
2020-08-12T13:30:00Z,117.57,119.29,116.1,118.1
2020-08-12T17:30:00Z,117.88,117.94,114.67,115.73
2020-08-13T13:30:00Z,115.14,115.25,112.06,113.59
2020-08-13T17:30:00Z,113.57,117.13,113.39,115.18
2020-08-14T13:30:00Z,115.56,116.49,114.11,114.44
2020-08-14T17:30:00Z,114.5,116.01,113.82,114.35
2020-08-17T13:30:00Z,111.82,112.3,110.98,111.17
2020-08-17T17:30:00Z,111.18,111.25,109.45,110.35
2020-08-18T13:30:00Z,109.35,113.53,108.47,111.35
2020-08-18T17:30:00Z,111.34,113.01,109.94,112.59
2020-08-19T13:30:00Z,111.28,113.17,111.19,111.38
2020-08-19T17:30:00Z,111.45,115.26,110.46,114.72
2020-08-20T13:30:00Z,117.7,117.7,115.2,115.97
2020-08-20T17:30:00Z,115.87,116.01,112.65,112.99
2020-08-21T13:30:00Z,114.5,115.44,112.72,113.52
2020-08-21T17:30:00Z,113.56,113.56,110.64,111.25
2020-08-24T13:30:00Z,108.76,111.1,107.44,107.83
2020-08-24T17:30:00Z,107.82,109.66,107.65,108.25
2020-08-25T13:30:00Z,108.31,110.28,105.96,106.17
2020-08-25T17:30:00Z,106.18,106.61,103.6,103.88
2020-08-26T13:30:00Z,103.68,103.81,100.49,101.89
2020-08-26T17:30:00Z,101.85,106.62,101.54,105.8
2020-08-27T13:30:00Z,104.21,122.89,102.71,114.86
2020-08-27T17:30:00Z,114.88,117.76,112.5,114.74
2020-08-28T13:30:00Z,115.35,124.82,115.35,116.57
2020-08-28T17:30:00Z,116.74,117.09,109.22,111.56
2020-08-31T13:30:00Z,115.02,117.05,111.03,112.36
2020-08-31T17:30:00Z,112.33,119.66,111.31,119.01
2020-09-01T13:30:00Z,118.67,120.49,116.95,119.8
2020-09-01T17:30:00Z,119.79,120.5,119.16,120.1
2020-09-02T13:30:00Z,119.78,120.6,117.96,120.52
2020-09-02T17:30:00Z,120.64,122.09,119.57,122.01
2020-09-03T13:30:00Z,121.31,132.38,117.87,128.76
2020-09-03T17:30:00Z,128.5,137.49,128.32,132.91
2020-09-04T13:30:00Z,129.31,135.04,123.91,127.59
2020-09-04T17:30:00Z,127.73,128.47,121.05,122.14
2020-09-08T13:30:00Z,130.91,130.91,122.11,122.75
2020-09-08T17:30:00Z,122.97,128.6,120.56,123.56
2020-09-09T13:30:00Z,127.13,127.61,120.96,121.78
2020-09-09T17:30:00Z,121.68,122.21,116.7,121.54
2020-09-10T13:30:00Z,120.56,122.7,118.47,119.2
2020-09-10T17:30:00Z,119.17,122.83,117.97,120.58
2020-09-11T13:30:00Z,116.5,120.94,115.39,120.86
2020-09-11T17:30:00Z,120.81,121.16,112.23,113.95
2020-09-14T13:30:00Z,114.51,114.75,109.46,110.43
2020-09-14T17:30:00Z,110.61,111.54,109.03,111.27
2020-09-15T13:30:00Z,108.91,109.92,108.05,109.13
2020-09-15T17:30:00Z,108.97,110.61,107.98,108.97
2020-09-16T13:30:00Z,109.77,110.17,102.15,103.34
2020-09-16T17:30:00Z,103.26,104.61,101.89,103.48
2020-09-17T13:30:00Z,109.51,109.51,102.42,104.13
2020-09-17T17:30:00Z,104.18,105.29,100.18,100.37
2020-09-18T13:30:00Z,100.05,104.05,98.02,104.05
2020-09-18T17:30:00Z,104.33,106.38,100.31,101.19
2020-09-21T13:30:00Z,109.27,117.36,108.9,110.09
2020-09-21T17:30:00Z,110.12,111.76,107.68,108.74
2020-09-22T13:30:00Z,108.35,108.96,105.12,105.12
2020-09-22T17:30:00Z,105.55,105.62,103.12,104.69
2020-09-23T13:30:00Z,103.4,104.78,102.59,103.77
2020-09-23T17:30:00Z,103.82,109.82,103.7,107.35
2020-09-24T13:30:00Z,108.33,109.86,101.06,101.07
2020-09-24T17:30:00Z,101.03,105.2,100.66,102.26
2020-09-25T13:30:00Z,102.46,104.23,100.17,100.33
2020-09-25T17:30:00Z,100.43,100.43,98.68,99.64
2020-09-28T13:30:00Z,102.73,103.48,101.56,101.91
2020-09-28T17:30:00Z,101.78,102.95,101.71,101.85
2020-09-29T13:30:00Z,102.48,102.48,97.92,99.54
2020-09-29T17:30:00Z,99.39,99.39,96.68,96.93
2020-09-30T13:30:00Z,97.8,98.9,96.19,98.67
2020-09-30T17:30:00Z,98.69,101.96,98.49,101.58
2020-10-01T13:30:00Z,100.63,102.21,99.73,99.91
2020-10-01T17:30:00Z,99.86,101.99,99.29,101
2020-10-02T13:30:00Z,108.74,110.2,102.83,103.06
2020-10-02T17:30:00Z,102.97,104.22,102.72,102.72
2020-10-05T13:30:00Z,105.8,105.99,102.54,102.86
2020-10-05T17:30:00Z,102.87,103.87,102.7,103.22
2020-10-06T13:30:00Z,103,105.87,102.61,105.29
2020-10-06T17:30:00Z,105.31,107.93,104.35,106.14
2020-10-07T13:30:00Z,105.67,106.42,104.19,104.27
2020-10-07T17:30:00Z,104.24,104.75,103.8,104.19
2020-10-08T13:30:00Z,104.13,105.01,103.38,103.96
2020-10-08T17:30:00Z,104.04,105.38,103.48,104.8
2020-10-09T13:30:00Z,104.27,108.9,104.26,107.75
2020-10-09T17:30:00Z,107.82,109.4,106.84,109.22
2020-10-12T13:30:00Z,112.6,112.79,111.14,111.53
2020-10-12T17:30:00Z,111.49,111.73,109.32,109.68
2020-10-13T13:30:00Z,110.34,110.76,109.78,110.03
2020-10-13T17:30:00Z,110.02,112.28,109.9,110.97
2020-10-14T13:30:00Z,116.68,117.45,115.25,117.15
2020-10-14T17:30:00Z,117.12,118.21,115.74,116.93
2020-10-15T13:30:00Z,119.92,121.34,119.06,119.72
