time,open,high,low,close
2019-02-07T14:30:00Z,169.03,169.44,166.96,167.75
2019-02-07T18:30:00Z,167.78,168.25,167.28,168.24
2019-02-08T14:30:00Z,166.73,167.75,166.58,167.53
2019-02-08T18:30:00Z,167.53,168.51,167.45,168.51
2019-02-11T14:30:00Z,169.14,169.58,168.25,168.39
2019-02-11T18:30:00Z,168.39,168.56,167.99,168.4
2019-02-12T14:30:00Z,169.59,170.87,169.33,170.73
2019-02-12T18:30:00Z,170.74,171.13,170.73,170.86
2019-02-13T14:30:00Z,171.62,172.15,170.97,171.44
2019-02-13T18:30:00Z,171.45,171.72,170.82,170.95
2019-02-14T14:30:00Z,170.38,171.73,169.85,171.51
2019-02-14T18:30:00Z,171.57,171.83,171.13,171.17
2019-02-15T14:30:00Z,172.51,172.53,171.14,171.28
2019-02-15T18:30:00Z,171.29,171.97,171.27,171.96
2019-02-19T14:30:00Z,171.39,172.71,171.38,172.41
2019-02-19T18:30:00Z,172.4,172.8,172.17,172.27
2019-02-20T14:30:00Z,172.43,173.08,171.46,172.22
2019-02-20T18:30:00Z,172.22,172.71,171.33,172.27
2019-02-21T14:30:00Z,171.79,172.26,170.71,171.97
2019-02-21T18:30:00Z,172.01,172.03,170.9,171.6
2019-02-22T14:30:00Z,171.98,173.01,171.9,172.69
2019-02-22T18:30:00Z,172.7,172.9,172,172.89
2019-02-25T14:30:00Z,174.2,174.65,173.43,173.68
2019-02-25T18:30:00Z,173.65,174.05,173.41,173.51
2019-02-26T14:30:00Z,173.04,173.97,172.83,173.54
2019-02-26T18:30:00Z,173.53,174.25,173.39,173.7
2019-02-27T14:30:00Z,172.92,173.53,171.77,173.41
2019-02-27T18:30:00Z,173.41,173.79,173.25,173.55
2019-02-28T14:30:00Z,173.04,173.81,172.71,173.6
2019-02-28T18:30:00Z,173.6,173.75,172.91,173.18
2019-03-01T14:30:00Z,174.41,174.57,173.19,173.97
2019-03-01T18:30:00Z,173.98,174.65,173.98,174.44
2019-03-04T14:30:00Z,175.37,175.79,172.48,173.5
2019-03-04T18:30:00Z,173.5,174.48,173.36,174.45
2019-03-05T14:30:00Z,174.52,174.97,173.69,174.51
2019-03-05T18:30:00Z,174.52,175.08,174.46,174.54
2019-03-06T14:30:00Z,174.69,174.73,173.29,173.38
2019-03-06T18:30:00Z,173.43,173.97,173.29,173.52
2019-03-07T14:30:00Z,173.1,173.18,171.31,172.22
2019-03-07T18:30:00Z,172.2,172.23,170.79,171.43
2019-03-08T14:30:00Z,169.51,170.79,169.34,169.95
2019-03-08T18:30:00Z,169.97,171.25,169.83,171.19
2019-03-11T13:30:00Z,171.85,174.44,171.85,174.42
2019-03-11T17:30:00Z,174.42,174.845,174.3,174.74
2019-03-12T13:30:00Z,175.17,176.14,174.78,175.9
2019-03-12T17:30:00Z,175.88,176.1,175.35,175.7
2019-03-13T13:30:00Z,176.6,177.67,176.36,177.49
2019-03-13T17:30:00Z,177.45,177.92,176.89,177.02
2019-03-14T13:30:00Z,177.115,177.33,176.66,177.1
2019-03-14T17:30:00Z,177.095,177.13,176.68,176.73
2019-03-15T13:30:00Z,177.45,178.8,177.28,178.61
2019-03-15T17:30:00Z,178.6,178.87,178.01,178.27
2019-03-18T13:30:00Z,177.95,178.99,177.6,178.06
2019-03-18T17:30:00Z,178.05,178.53,178,178.41
2019-03-19T13:30:00Z,179.16,180,178.87,179.51
2019-03-19T17:30:00Z,179.49,179.66,178.29,179.05
2019-03-20T13:30:00Z,179.03,179.25,178.245,178.6
2019-03-20T17:30:00Z,178.59,180.85,178.58,179.79
2019-03-21T13:30:00Z,179.21,181.75,179.2,181.75
2019-03-21T17:30:00Z,181.75,182.82,181.67,182.55
2019-03-22T13:30:00Z,181.76,182.26,178.94,179.29
2019-03-22T17:30:00Z,179.29,180.05,178.37,178.49
2019-03-25T13:30:00Z,177.92,178.84,176.95,177.71
2019-03-25T17:30:00Z,177.7,178.475,177.08,178.24
2019-03-26T13:30:00Z,179.58,180.69,178.99,179.31
2019-03-26T17:30:00Z,179.29,179.31,178.15,179.05
2019-03-27T13:30:00Z,179.28,179.72,176.61,177.995
2019-03-27T17:30:00Z,177.97,178.36,177.56,178
2019-03-28T13:30:00Z,178.36,178.97,177.25,178.34
2019-03-28T17:30:00Z,178.33,178.49,177.88,178.34
2019-03-29T13:30:00Z,179.64,179.76,178.6,179.27
2019-03-29T17:30:00Z,179.25,179.83,179.16,179.73
2019-04-01T13:30:00Z,181.44,181.96,180.78,181.83
2019-04-01T17:30:00Z,181.82,182.255,181.78,182.13
2019-04-02T13:30:00Z,182.23,182.56,181.78,182.53
2019-04-02T17:30:00Z,182.54,182.9,182.46,182.73
2019-04-03T13:30:00Z,183.76,184.915,183.42,184.43
2019-04-03T17:30:00Z,184.43,184.43,183.21,183.78
2019-04-04T13:30:00Z,183.82,184.5,182.66,183.25
2019-04-04T17:30:00Z,183.25,183.89,183.16,183.72
2019-04-05T13:30:00Z,184.3,184.74,184.02,184.58
2019-04-05T17:30:00Z,184.57,184.76,184.38,184.66
2019-04-08T13:30:00Z,184.37,184.75,183.63,184.745
2019-04-08T17:30:00Z,184.76,185.27,184.72,185.15
2019-04-09T13:30:00Z,184.5,185.11,184.23,184.58
2019-04-09T17:30:00Z,184.54,184.63,184.09,184.48
2019-04-10T13:30:00Z,184.75,185.36,184.52,184.98
2019-04-10T17:30:00Z,184.98,185.52,184.68,185.48
2019-04-11T13:30:00Z,185.77,185.78,184.89,185.2
2019-04-11T17:30:00Z,185.21,185.21,184.69,185.06
2019-04-12T13:30:00Z,185.85,185.94,185.08,185.61
2019-04-12T17:30:00Z,185.63,185.85,185.5,185.85
2019-04-15T13:30:00Z,185.81,186.065,184.62,185.44
2019-04-15T17:30:00Z,185.42,186.05,185.4,185.88
2019-04-16T13:30:00Z,186.51,186.91,186.32,186.66
2019-04-16T17:30:00Z,186.66,186.81,185.94,186.53
2019-04-17T13:30:00Z,187.75,187.93,186.63,187.07
2019-04-17T17:30:00Z,187.07,187.31,186.6,187.14
2019-04-18T13:30:00Z,187.48,187.51,186.29,187.12
2019-04-18T17:30:00Z,187.13,187.47,187.1,187.38
2019-04-22T13:30:00Z,186.57,187.72,186.43,187.58
2019-04-22T17:30:00Z,187.59,187.99,187.58,187.96
2019-04-23T13:30:00Z,188.37,190.3,188.13,190.18
2019-04-23T17:30:00Z,190.18,190.53,189.99,190.29
2019-04-24T13:30:00Z,190.44,190.7,189.77,190.03
2019-04-24T17:30:00Z,190.05,190.26,189.66,189.69
2019-04-25T13:30:00Z,191.14,191.22,189.46,190.6
2019-04-25T17:30:00Z,190.62,190.975,190.41,190.41
2019-04-26T13:30:00Z,190.21,190.22,188.59,189.84
2019-04-26T17:30:00Z,189.86,190.69,189.65,190.68
2019-04-29T13:30:00Z,190.62,191.175,190.35,191.05
2019-04-29T17:30:00Z,191.06,191.31,190.86,190.98
2019-04-30T13:30:00Z,189.48,189.85,188.22,189.12
2019-04-30T17:30:00Z,189.11,189.795,189.07,189.55
2019-05-01T13:30:00Z,190.76,191.285,190.3,190.63
2019-05-01T17:30:00Z,190.65,191.32,188.8,188.82
2019-05-02T13:30:00Z,188.88,189.85,186.88,188.02
2019-05-02T17:30:00Z,188,188.4,187.57,188.19
2019-05-03T13:30:00Z,189.69,191.08,189.35,191.08
2019-05-03T17:30:00Z,191.08,191.25,190.71,191.12
2019-05-06T13:30:00Z,187.1,189.44,186.76,188.98
2019-05-06T17:30:00Z,188.97,190.2,188.87,189.99
2019-05-07T13:30:00Z,187.86,188.67,185.29,185.46
2019-05-07T17:30:00Z,185.45,186.27,184.51,186.26
2019-05-08T13:30:00Z,185.68,187.17,185.01,186.59
2019-05-08T17:30:00Z,186.62,186.94,185.62,185.63
2019-05-09T13:30:00Z,183.77,185.4,182.1,184.44
2019-05-09T17:30:00Z,184.49,185.37,183.9,184.8
2019-05-10T13:30:00Z,184.06,184.7,181.04,183.745
2019-05-10T17:30:00Z,183.76,185.88,183.68,185.04
