Date,YMAX,YMAX Dividends
2024-02-09 20:00:00,20.77,0.0
2024-02-12 14:30:00,20.92,0.0
2024-02-12 15:00:00,20.95,0.0
2024-02-13 16:00:00,20.685,0.0
2024-02-13 19:00:00,20.55,0.0
2024-02-13 19:30:00,20.51,0.0
2024-02-13 20:00:00,20.45,0.0
2024-02-13 20:30:00,20.52,0.0
2024-02-14 14:30:00,20.83,0.0
2024-02-14 15:00:00,20.86,0.0
2024-02-14 15:30:00,20.8,0.0
2024-02-14 16:00:00,20.76,0.0
2024-02-14 16:30:00,20.82,0.0
2024-02-14 17:00:00,20.76,0.0
2024-02-14 18:30:00,20.9,0.0
2024-02-14 19:30:00,20.92,0.0
2024-02-15 14:30:00,20.57,0.53
2024-02-15 15:00:00,20.59,0.0
2024-02-15 15:30:00,20.57,0.0
2024-02-15 16:00:00,20.55,0.0
2024-02-16 14:30:00,20.6,0.0
2024-02-16 19:00:00,20.66,0.0
2024-02-16 20:30:00,20.56,0.0
2024-02-20 14:30:00,20.21,0.0
2024-02-20 15:00:00,20.15,0.0
2024-02-20 15:30:00,20.18,0.0
2024-02-20 16:00:00,20.2,0.0
2024-02-20 17:00:00,20.08,0.0
2024-02-20 18:00:00,20.08,0.0
2024-02-20 20:30:00,20.11,0.0
2024-02-21 15:30:00,20.08,0.0
2024-02-21 17:00:00,20.01,0.0
2024-02-21 17:30:00,20.01,0.0
2024-02-21 19:00:00,19.98,0.0
2024-02-21 19:30:00,19.97,0.0
2024-02-21 20:00:00,19.94,0.0
2024-02-21 20:30:00,20.02,0.0
2024-02-22 14:30:00,20.59,0.0
2024-02-22 15:30:00,20.62,0.0
2024-02-22 18:00:00,20.75,0.0
2024-02-22 20:00:00,20.785,0.0
2024-02-23 16:00:00,20.82,0.0
2024-02-26 15:00:00,20.89,0.0
2024-02-26 15:30:00,20.95,0.0
2024-02-26 16:00:00,20.9,0.0
2024-02-26 17:00:00,20.96,0.0
2024-02-26 20:30:00,20.94,0.0
2024-02-27 15:00:00,21.1,0.0
2024-02-27 17:00:00,21.16,0.0
2024-02-27 20:30:00,21.19,0.0
2024-02-28 15:00:00,21.21,0.0
2024-02-28 17:00:00,21.27,0.0
2024-02-28 18:00:00,21.22,0.0
2024-02-28 19:00:00,21.23,0.0
2024-02-28 20:30:00,21.18,0.0
2024-02-29 14:30:00,21.52,0.0
2024-02-29 15:00:00,21.505,0.0
2024-02-29 15:30:00,21.52,0.0
2024-02-29 16:00:00,21.5,0.0
2024-02-29 16:30:00,21.45,0.0
2024-02-29 17:30:00,21.39,0.0
2024-02-29 20:00:00,21.48,0.0
2024-02-29 20:30:00,21.53,0.0
2024-03-01 14:30:00,21.47,0.0
2024-03-01 15:00:00,21.49,0.0
2024-03-01 16:00:00,21.54,0.0
2024-03-01 17:00:00,21.57,0.0
2024-03-01 19:00:00,21.62,0.0
2024-03-01 20:30:00,21.5875,0.0
2024-03-04 14:30:00,21.6,0.0
2024-03-04 15:00:00,21.59,0.0
2024-03-04 16:00:00,21.6,0.0
2024-03-04 16:30:00,21.57,0.0
2024-03-04 17:00:00,21.56,0.0
2024-03-04 17:30:00,21.57,0.0
2024-03-04 19:30:00,21.61,0.0
2024-03-04 20:30:00,21.59,0.0
2024-03-05 14:30:00,21.35,0.0
2024-03-05 15:30:00,21.17,0.0
2024-03-05 19:00:00,21.14,0.0
2024-03-05 20:30:00,21.13,0.0
2024-03-06 15:30:00,21.36,0.0
2024-03-06 16:30:00,21.41,0.0
2024-03-06 17:00:00,21.47,0.0
2024-03-06 17:30:00,21.49,0.0
2024-03-06 18:00:00,21.49,0.0
2024-03-06 18:30:00,21.42,0.0
2024-03-06 19:00:00,21.39,0.0
2024-03-06 20:00:00,21.41,0.0
2024-03-06 20:30:00,21.39,0.0
2024-03-07 14:30:00,21.45,0.0
2024-03-07 15:00:00,21.46,0.0
2024-03-07 16:00:00,21.53,0.0
2024-03-07 20:00:00,21.58,0.0
2024-03-07 20:30:00,21.59,0.0
2024-03-08 14:30:00,21.88,0.0
2024-03-08 15:00:00,21.92,0.0
2024-03-08 15:30:00,21.83,0.0
2024-03-08 16:00:00,21.75,0.0
2024-03-08 17:00:00,21.62,0.0
2024-03-08 19:30:00,21.65,0.0
2024-03-08 20:00:00,21.62,0.0
2024-03-08 20:30:00,21.61,0.0
2024-03-11 13:30:00,21.65,0.0
2024-03-11 14:00:00,21.6,0.0
2024-03-11 14:30:00,21.69,0.0
2024-03-11 15:00:00,21.73,0.0
2024-03-11 15:30:00,21.69,0.0
2024-03-11 16:00:00,21.71,0.0
2024-03-11 18:30:00,21.69,0.0
2024-03-11 19:00:00,21.6,0.0
2024-03-11 19:30:00,21.6,0.0
2024-03-12 13:30:00,21.58,0.0
2024-03-12 14:00:00,21.65,0.0
2024-03-12 15:30:00,21.8,0.0
2024-03-12 16:00:00,21.78,0.0
2024-03-12 18:00:00,21.81,0.0
2024-03-12 18:30:00,21.83,0.0
2024-03-12 19:00:00,21.84,0.0
2024-03-12 19:30:00,21.855,0.0
2024-03-13 13:30:00,21.79,0.0
2024-03-13 14:30:00,21.83,0.0
2024-03-13 15:30:00,21.84,0.0
2024-03-13 16:00:00,21.87,0.0
2024-03-13 16:30:00,21.88,0.0
2024-03-13 17:00:00,21.88,0.0
2024-03-13 17:30:00,21.85,0.0
2024-03-13 19:00:00,21.79,0.0
2024-03-13 19:30:00,21.76,0.0
2024-03-14 13:30:00,20.98,0.0
2024-03-14 14:00:00,20.94,0.0
2024-03-14 14:30:00,21.04,0.57
2024-03-14 15:00:00,20.93,0.0
2024-03-14 15:30:00,20.91,0.0
2024-03-14 16:00:00,20.89,0.0
2024-03-14 19:00:00,20.75,0.0
2024-03-14 19:30:00,20.89,0.0
2024-03-15 14:00:00,20.88,0.0
2024-03-15 14:30:00,20.95,0.0
2024-03-15 15:30:00,20.94,0.0
2024-03-15 16:30:00,20.86,0.0
2024-03-15 18:00:00,20.88,0.0
2024-03-15 19:30:00,20.88,0.0
2024-03-18 13:30:00,21.01,0.0
2024-03-18 14:00:00,21.12,0.0
2024-03-18 15:00:00,21.12,0.0
2024-03-18 16:30:00,21.13,0.0
2024-03-18 17:00:00,21.06,0.0
2024-03-18 19:30:00,21.15,0.0
2024-03-19 13:30:00,20.81,0.0
2024-03-19 15:00:00,20.86,0.0
2024-03-19 15:30:00,20.935,0.0
2024-03-19 16:00:00,21.03,0.0
2024-03-19 17:00:00,21.07,0.0
2024-03-19 19:30:00,21.05,0.0
2024-03-20 13:30:00,21.01,0.0
2024-03-20 15:00:00,21.1,0.0
2024-03-20 18:00:00,21.07,0.0
2024-03-20 18:30:00,21.23,0.0
2024-03-20 19:00:00,21.27,0.0
2024-03-20 19:30:00,21.31,0.0
2024-03-21 13:30:00,21.45,0.0
2024-03-21 19:30:00,21.44,0.0
2024-03-22 14:00:00,21.39,0.0
2024-03-22 14:30:00,21.32,0.0
2024-03-22 17:30:00,21.49,0.0
2024-03-22 19:30:00,21.43,0.0
2024-03-25 14:00:00,21.58,0.0
2024-03-25 14:30:00,21.57,0.0
2024-03-25 19:30:00,21.6,0.0
2024-03-26 14:30:00,21.68,0.0
2024-03-26 18:00:00,21.71,0.0
2024-03-26 19:30:00,21.56,0.0
2024-03-27 14:00:00,21.53,0.0
2024-03-27 18:30:00,21.55,0.0
2024-03-27 19:30:00,21.58,0.0
2024-03-28 13:30:00,21.56,0.0
2024-03-28 19:30:00,21.61,0.0
2024-04-01 14:00:00,21.65,0.0
2024-04-01 19:30:00,21.57,0.0
2024-04-02 13:30:00,21.1,0.0
2024-04-02 14:30:00,21.26,0.0
2024-04-02 16:30:00,21.33,0.0
2024-04-02 19:30:00,21.36,0.0
2024-04-03 13:30:00,21.41,0.0
2024-04-03 19:30:00,21.42,0.0
2024-04-04 13:30:00,21.53,0.0
2024-04-04 14:00:00,21.53,0.0
2024-04-04 16:30:00,21.63,0.0
2024-04-04 17:00:00,21.6,0.0
2024-04-04 18:00:00,21.475,0.0
2024-04-04 18:30:00,21.3,0.0
2024-04-04 19:00:00,21.25,0.0
2024-04-04 19:30:00,21.17,0.0
