time,open,high,low,close
2024-01-18T14:30:00Z,20.99,20.99,19.85,19.85
2024-01-18T18:30:00Z,19.86,19.95,19.86,19.94
2024-01-19T14:30:00Z,19.98,20,19.9,19.98
2024-01-19T18:30:00Z,20.06,20.12,20.06,20.12
2024-01-22T14:30:00Z,20.25,20.28,20.15,20.15
2024-01-22T18:30:00Z,20.14,20.18,20.14,20.16
2024-01-23T14:30:00Z,20.19,20.26,20.19,20.21
2024-01-23T18:30:00Z,20.17,20.27,20.17,20.27
2024-01-24T14:30:00Z,20.5,20.52,20.44,20.44
2024-01-24T18:30:00Z,20.45,20.45,20.35,20.36
2024-01-25T14:30:00Z,20.38,20.38,20.19,20.24
2024-01-25T18:30:00Z,20.2,20.22,20.18,20.18
2024-01-26T14:30:00Z,20.37,20.37,20.33,20.33
2024-01-26T18:30:00Z,20.34,20.38,20.34,20.36
2024-01-29T14:30:00Z,20.39,20.54,20.39,20.54
2024-01-29T18:30:00Z,20.54,20.64,20.54,20.64
2024-01-30T14:30:00Z,20.62,20.64,20.45,20.45
2024-01-30T18:30:00Z,20.52,20.54,20.52,20.54
2024-01-31T14:30:00Z,20.35,20.38,20.33,20.38
2024-01-31T18:30:00Z,20.41,20.42,20.2,20.2
2024-02-01T14:30:00Z,20.33,20.34,20.16,20.33
2024-02-01T18:30:00Z,20.33,20.38,20.33,20.38
2024-02-02T14:30:00Z,20.47,20.61,20.46,20.59
2024-02-02T18:30:00Z,20.58,20.69,20.58,20.69
2024-02-05T14:30:00Z,20.59,20.59,20.31,20.45
2024-02-05T18:30:00Z,20.43,20.43,20.43,20.43
2024-02-06T14:30:00Z,20.59,20.59,20.45,20.5
2024-02-06T18:30:00Z,20.52,20.6,20.51,20.58
2024-02-07T14:30:00Z,20.6,20.77,20.57,20.77
2024-02-07T18:30:00Z,20.79,20.8,20.76,20.76
2024-02-08T14:30:00Z,20.74,20.84,20.73,20.79
2024-02-08T18:30:00Z,20.81,20.81,20.79,20.79
2024-02-09T18:30:00Z,20.77,20.77,20.77,20.77
2024-02-12T14:30:00Z,20.9,20.95,20.9,20.95
2024-02-13T14:30:00Z,20.685,20.685,20.685,20.685
2024-02-13T18:30:00Z,20.6,20.6,20.45,20.52
2024-02-14T14:30:00Z,20.83,20.89,20.76,20.76
2024-02-14T18:30:00Z,20.93,20.93,20.9,20.92
2024-02-15T14:30:00Z,20.5,20.63,20.5,20.55
2024-02-16T14:30:00Z,20.6,20.6,20.6,20.6
2024-02-16T18:30:00Z,20.66,20.66,20.56,20.56
2024-02-20T14:30:00Z,20.3,20.3,20.08,20.08
2024-02-20T18:30:00Z,20.15,20.15,20.11,20.11
2024-02-21T14:30:00Z,20.02,20.08,20,20.01
2024-02-21T18:30:00Z,20.01,20.02,19.94,20.02
2024-02-22T14:30:00Z,20.59,20.77,20.59,20.75
2024-02-22T18:30:00Z,20.785,20.785,20.785,20.785
2024-02-23T14:30:00Z,20.82,20.82,20.82,20.82
2024-02-26T14:30:00Z,20.89,20.96,20.89,20.96
2024-02-26T18:30:00Z,20.95,20.95,20.94,20.94
2024-02-27T14:30:00Z,21.13,21.16,21.1,21.16
2024-02-27T18:30:00Z,21.19,21.19,21.19,21.19
2024-02-28T14:30:00Z,21.21,21.27,21.21,21.22
2024-02-28T18:30:00Z,21.23,21.23,21.18,21.18
2024-02-29T14:30:00Z,21.47,21.62,21.39,21.39
2024-02-29T18:30:00Z,21.47,21.53,21.47,21.53
2024-03-01T14:30:00Z,21.47,21.57,21.47,21.57
2024-03-01T18:30:00Z,21.62,21.62,21.5875,21.5875
2024-03-04T14:30:00Z,21.67,21.67,21.55,21.57
2024-03-04T18:30:00Z,21.61,21.61,21.59,21.59
2024-03-05T14:30:00Z,21.35,21.35,21.17,21.17
2024-03-05T18:30:00Z,21.17,21.17,21.13,21.13
2024-03-06T14:30:00Z,21.36,21.49,21.36,21.49
2024-03-06T18:30:00Z,21.42,21.42,21.32,21.39
2024-03-07T14:30:00Z,21.51,21.54,21.45,21.53
2024-03-07T18:30:00Z,21.58,21.59,21.58,21.59
2024-03-08T14:30:00Z,21.7,21.92,21.62,21.62
2024-03-08T18:30:00Z,21.65,21.65,21.61,21.61
2024-03-11T13:30:00Z,21.63,21.74,21.6,21.71
2024-03-11T17:30:00Z,21.69,21.69,21.58,21.6
2024-03-12T13:30:00Z,21.77,21.8,21.49,21.78
2024-03-12T17:30:00Z,21.81,21.855,21.81,21.855
2024-03-13T13:30:00Z,21.79,21.89,21.79,21.88
2024-03-13T17:30:00Z,21.85,21.85,21.76,21.76
2024-03-14T13:30:00Z,21.23,21.26,20.89,20.89
2024-03-14T17:30:00Z,20.79,20.89,20.75,20.89
2024-03-15T13:30:00Z,20.88,20.95,20.85,20.86
2024-03-15T17:30:00Z,20.88,20.9,20.88,20.88
2024-03-18T13:30:00Z,21.04,21.14,21.01,21.06
2024-03-18T17:30:00Z,21.15,21.15,21.15,21.15
2024-03-19T13:30:00Z,20.99,21.07,20.81,21.07
2024-03-19T17:30:00Z,21.065,21.065,21.05,21.05
2024-03-20T13:30:00Z,21.02,21.1,21.01,21.1
2024-03-20T17:30:00Z,21.06,21.31,21.06,21.31
2024-03-21T13:30:00Z,21.45,21.45,21.45,21.45
2024-03-21T17:30:00Z,21.44,21.44,21.44,21.44
2024-03-22T13:30:00Z,21.38,21.39,21.32,21.32
2024-03-22T17:30:00Z,21.48,21.49,21.43,21.43
2024-03-25T13:30:00Z,21.58,21.58,21.57,21.57
2024-03-25T17:30:00Z,21.61,21.61,21.6,21.6
2024-03-26T13:30:00Z,21.68,21.68,21.68,21.68
2024-03-26T17:30:00Z,21.74,21.74,21.56,21.56
2024-03-27T13:30:00Z,21.53,21.53,21.53,21.53
2024-03-27T17:30:00Z,21.55,21.61,21.55,21.58
2024-03-28T13:30:00Z,21.56,21.56,21.56,21.56
2024-03-28T17:30:00Z,21.61,21.61,21.61,21.61
2024-04-01T13:30:00Z,21.65,21.65,21.65,21.65
2024-04-01T17:30:00Z,21.58,21.58,21.57,21.57
2024-04-02T13:30:00Z,21.23,21.33,21.1,21.33
2024-04-02T17:30:00Z,21.38,21.38,21.36,21.36
2024-04-03T13:30:00Z,21.41,21.41,21.41,21.41
2024-04-03T17:30:00Z,21.42,21.42,21.42,21.42
2024-04-04T13:30:00Z,21.54,21.635,21.5,21.6
2024-04-04T17:30:00Z,21.475,21.475,21.16,21.17
2024-04-05T13:30:00Z,21.29,21.37,21.29,21.37
2024-04-05T17:30:00Z,21.38,21.38,21.31,21.33
2024-04-08T13:30:00Z,21.41,21.54,21.41,21.45
2024-04-08T17:30:00Z,21.46,21.52,21.46,21.49
2024-04-09T13:30:00Z,21.53,21.55,21.36,21.48
2024-04-09T17:30:00Z,21.45,21.49,21.45,21.48
2024-04-10T13:30:00Z,21.35,21.46,21.31,21.35
2024-04-10T17:30:00Z,21.4,21.43,21.34,21.43
2024-04-11T13:30:00Z,21.41,21.5,21.35,21.5
2024-04-11T17:30:00Z,21.66,21.68,21.66,21.68
2024-04-12T13:30:00Z,21.55,21.55,21.28,21.28
2024-04-12T17:30:00Z,21.3,21.32,21.23,21.28
2024-04-15T13:30:00Z,21.35,21.35,21.02,21.02
2024-04-15T17:30:00Z,20.9,20.9,20.8,20.81
2024-04-16T13:30:00Z,20.77,20.77,20.7,20.75
2024-04-16T17:30:00Z,20.72,20.76,20.72,20.74
2024-04-17T13:30:00Z,20.26,20.27,19.84,19.9
2024-04-17T17:30:00Z,20.02,20.02,19.91,19.91
2024-04-18T13:30:00Z,19.92,20.1,19.82,19.89
2024-04-18T17:30:00Z,19.86,19.86,19.81,19.85
2024-04-19T13:30:00Z,19.78,19.8,19.49,19.57
2024-04-19T17:30:00Z,19.48,19.48,19.38,19.4
2024-04-22T13:30:00Z,19.54,19.64,19.43,19.64
2024-04-22T17:30:00Z,19.68,19.72,19.68,19.69
2024-04-23T13:30:00Z,19.75,20.02,19.75,20.02
2024-04-23T17:30:00Z,20.02,20.05,20.02,20.04
2024-04-24T13:30:00Z,20.16,20.16,19.97,20.07
2024-04-24T17:30:00Z,20.01,20.06,20.01,20.05
2024-04-25T13:30:00Z,19.71,19.8,19.68,19.8
2024-04-25T17:30:00Z,19.94,19.96,19.92,19.92
2024-04-26T13:30:00Z,20.015,20.18,20.015,20.18
2024-04-26T17:30:00Z,20.22,20.23,20.22,20.23
