Date,Price,Open,High,Low,Vol.,Change %
1/28/2025,18.81,18.48,18.83,18.35,933.82K,2.28%
1/27/2025,18.39,18.27,18.53,18.18,1.25M,-2.85%
1/24/2025,18.93,19,19.07,18.83,848.88K,-0.05%
1/23/2025,0.19,,,,,
1/23/2025,18.94,18.94,18.97,18.85,585.19K,-0.63%
1/22/2025,19.06,18.94,19.09,18.9,622.02K,0.85%
1/21/2025,18.9,18.99,18.99,18.64,1.08M,0.59%
1/17/2025,18.79,18.8,18.91,18.74,724.74K,1.08%
1/16/2025,0.05,,,,,
1/16/2025,18.59,18.85,18.85,18.55,527.00K,-1.38%
1/15/2025,18.85,18.67,18.9,18.59,872.99K,2.22%
1/14/2025,18.44,18.7,18.7,18.29,819.03K,-0.86%
1/13/2025,18.6,18.36,18.6,18.25,1.06M,-0.59%
1/10/2025,18.71,18.79,18.8,18.42,1.16M,-0.69%
1/8/2025,0.16,,,,,
1/8/2025,18.84,18.93,18.99,18.71,1.20M,-1.31%
1/7/2025,19.09,19.48,19.51,18.96,1.63M,-1.85%
1/6/2025,19.45,19.4,19.5,19.31,1.33M,1.30%
1/3/2025,0.31,,,,,
1/3/2025,19.2,19,19.2,18.93,940.17K,0.10%
1/2/2025,19.18,19.33,19.35,18.95,1.75M,-0.36%
12/31/2024,19.25,19.58,19.58,19.19,794.86K,-1.33%
12/30/2024,19.51,19.43,19.58,19.33,1.05M,-1.06%
12/27/2024,0.17,,,,,
12/27/2024,19.72,19.92,19.92,19.45,781.16K,-2.28%
12/26/2024,20.18,20.21,20.21,20.05,574.83K,-0.15%
12/24/2024,20.21,20,20.21,19.93,400.00K,1.66%
12/23/2024,19.88,19.8,19.89,19.56,937.50K,1.27%
12/20/2024,19.63,19.34,19.91,19.26,835.64K,0.15%
12/19/2024,0.06,,,,,
12/19/2024,19.6,19.87,19.87,19.58,719.39K,-0.10%
12/18/2024,19.62,20.34,20.41,19.51,1.30M,-3.59%
12/17/2024,20.35,20.31,20.35,20.14,729.45K,0.20%
12/16/2024,20.31,20.16,20.33,20.08,879.24K,1.55%
12/13/2024,20,20.08,20.12,19.9,1.42M,-0.50%
12/12/2024,20.1,20.14,20.16,20.02,774.78K,-0.99%
12/11/2024,20.3,20.09,20.3,20.04,1.04M,1.96%
