"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2025","18.57","19.33","19.51","18.18","19.90M","-3.53%"
"12/01/2024","19.25","19.44","20.41","19.19","18.08M","-0.62%"
"11/01/2024","19.37","18.78","19.99","18.58","13.02M","4.20%"
"10/01/2024","18.59","19.51","19.51","18.51","12.05M","-4.42%"
"09/01/2024","19.45","19.01","19.57","18.12","5.47M","1.73%"
"08/01/2024","19.12","19.90","20.15","17.15","4.42M","-2.89%"
"07/01/2024","19.69","20.89","21.91","18.72","8.03M","-5.20%"
"06/01/2024","20.77","20.20","21.25","20.13","3.06M","3.03%"
"05/01/2024","20.16","19.52","20.47","19.37","2.53M","3.49%"
"04/01/2024","19.48","20.55","20.96","18.56","1.98M","-4.79%"
"03/01/2024","20.46","20.84","21.00","19.75","2.10M","-1.63%"
"02/01/2024","20.80","19.68","20.80","19.60","2.24M","6.74%"
