"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2025","16.60","17.12","17.53","15.99","31.55M","-2.06%"
"12/01/2024","16.95","18.28","18.82","16.88","43.33M","-6.46%"
"11/01/2024","18.12","17.07","18.54","16.84","23.68M","7.09%"
"10/01/2024","16.92","17.85","17.85","16.91","20.17M","-5.10%"
"09/01/2024","17.83","17.58","17.94","16.65","7.91M","0.51%"
"08/01/2024","17.74","18.78","18.87","15.69","7.65M","-5.74%"
"07/01/2024","18.82","19.51","20.28","18.07","11.90M","-3.54%"
"06/01/2024","19.51","20.29","20.89","19.32","11.44M","-2.98%"
"05/01/2024","20.11","19.81","20.71","19.60","6.43M","0.95%"
"04/01/2024","19.92","21.75","21.75","19.38","5.37M","-8.12%"
"03/01/2024","21.68","21.66","21.94","20.70","5.04M","0.60%"
"02/01/2024","21.55","20.37","21.62","19.92","3.65M","6.68%"
