"Date","Price","Open","High","Low","Vol.","Change %"
"01/28/2025","16.72","16.57","16.73","16.33","950.74K","1.95%"
"01/27/2025","16.40","16.44","16.62","16.23","2.56M","-2.90%"
"01/24/2025","16.89","17.00","17.08","16.86","1.39M","-0.41%"
"01/23/2025","16.96","16.80","16.97","16.77","1.03M","-0.41%"
"01/22/2025","17.03","17.04","17.09","16.97","1.47M","0.89%"
"01/21/2025","16.88","17.08","17.08","16.72","1.58M","0.66%"
"01/17/2025","16.77","16.68","16.80","16.64","1.04M","1.57%"
"01/16/2025","16.51","16.57","16.64","16.50","759.92K","-0.96%"
"01/15/2025","16.67","16.64","16.74","16.52","1.42M","2.21%"
"01/14/2025","16.31","16.45","16.50","16.22","973.14K","0.37%"
"01/13/2025","16.25","16.10","16.26","15.99","2.00M","-1.63%"
"01/10/2025","16.52","16.65","16.67","16.33","1.87M","-1.26%"
"01/08/2025","16.73","16.96","16.96","16.53","2.38M","-2.22%"
"01/07/2025","17.11","17.51","17.53","17.01","2.10M","-2.06%"
"01/06/2025","17.47","17.46","17.52","17.38","2.44M","1.28%"
"01/03/2025","17.25","16.97","17.25","16.93","1.42M","1.23%"
"01/02/2025","17.04","17.12","17.18","16.88","2.37M","0.53%"
"12/31/2024","16.95","17.19","17.19","16.88","2.00M","-0.76%"
"12/30/2024","17.08","17.18","17.18","16.88","2.74M","-1.27%"
"12/27/2024","17.30","17.53","17.54","17.15","1.76M","-2.75%"
"12/26/2024","17.79","17.88","17.88","17.70","1.38M","-0.34%"
"12/24/2024","17.85","17.68","17.85","17.61","817.64K","1.77%"
"12/23/2024","17.54","17.60","17.60","17.34","1.44M","0.06%"
"12/20/2024","17.53","17.10","17.63","17.05","1.63M","1.39%"
"12/19/2024","17.29","17.61","17.68","17.25","1.96M","-1.20%"
"12/18/2024","17.50","18.30","18.31","17.39","3.07M","-4.16%"
"12/17/2024","18.26","18.32","18.33","18.16","1.41M","-0.22%"
"12/16/2024","18.30","18.19","18.30","18.17","1.71M","0.66%"
"12/13/2024","18.18","18.30","18.32","18.01","2.17M","-0.38%"
"12/12/2024","18.25","18.31","18.37","18.18","1.74M","-1.14%"
"12/11/2024","18.46","18.36","18.49","18.23","2.14M","1.10%"
