Dates,GLD,VIX,VVIX
2001-01-02 14:30:00,,32.92,
2001-01-02 18:30:00,,34.21,
2001-01-02 22:30:00,,34.39,
2001-01-03 14:30:00,,33.56,
2001-01-03 18:30:00,,28.86,
2001-01-03 22:30:00,,28.76,
2001-01-04 14:30:00,,29.33,
2001-01-04 18:30:00,,30.05,
2001-01-04 22:30:00,,30.08,
2001-01-05 14:30:00,,31.07,
2001-01-05 18:30:00,,32.19,
2001-01-05 22:30:00,,32.09,
2001-01-08 14:30:00,,33.43,
2001-01-08 18:30:00,,34.37,
2001-01-08 22:30:00,,33.85,
2001-01-09 14:30:00,,31.35,
2001-01-09 18:30:00,,30.79,
2001-01-09 22:30:00,,30.67,
2001-01-10 14:30:00,,31.71,
2001-01-10 18:30:00,,31.0,
2001-01-10 22:30:00,,30.19,
2001-01-11 14:30:00,,29.65,
2001-01-11 18:30:00,,29.0,
2001-01-11 22:30:00,,28.64,
2001-01-12 14:30:00,,29.38,
2001-01-12 18:30:00,,29.03,
2001-01-12 22:30:00,,28.66,
2001-01-16 14:30:00,,28.7,
2001-01-16 18:30:00,,28.85,
2001-01-16 22:30:00,,28.18,
2001-01-17 14:30:00,,27.09,
2001-01-17 18:30:00,,27.91,
2001-01-17 22:30:00,,28.51,
2001-01-18 14:30:00,,27.72,
2001-01-18 18:30:00,,27.06,
2001-01-18 22:30:00,,27.23,
2001-01-19 14:30:00,,27.08,
2001-01-19 18:30:00,,26.75,
2001-01-19 22:30:00,,26.67,
2001-01-22 14:30:00,,26.1,
2001-01-22 18:30:00,,26.11,
2001-01-22 22:30:00,,25.94,
2001-01-23 14:30:00,,25.18,
2001-01-23 18:30:00,,24.28,
2001-01-23 22:30:00,,23.91,
2001-01-24 14:30:00,,25.07,
2001-01-24 18:30:00,,24.61,
2001-01-24 22:30:00,,24.81,
2001-01-25 14:30:00,,25.28,
2001-01-25 18:30:00,,25.12,
2001-01-25 22:30:00,,24.98,
2001-01-26 14:30:00,,26.04,
2001-01-26 18:30:00,,25.44,
2001-01-26 22:30:00,,25.48,
2001-01-29 14:30:00,,25.6,
2001-01-29 18:30:00,,25.26,
2001-01-29 22:30:00,,24.92,
2001-01-30 14:30:00,,25.49,
2001-01-30 18:30:00,,25.2,
2001-01-30 22:30:00,,24.99,
2001-01-31 14:30:00,,25.27,
2001-01-31 18:30:00,,24.15,
2001-01-31 22:30:00,,24.33,
2001-02-01 14:30:00,,25.41,
2001-02-01 18:30:00,,24.73,
2001-02-01 22:30:00,,24.21,
2001-02-02 14:30:00,,23.78,
2001-02-02 18:30:00,,24.5,
2001-02-02 22:30:00,,24.71,
2001-02-05 14:30:00,,25.5,
2001-02-05 18:30:00,,24.56,
2001-02-05 22:30:00,,24.39,
2001-02-06 14:30:00,,23.88,
2001-02-06 18:30:00,,23.73,
2001-02-06 22:30:00,,23.82,
2001-02-07 14:30:00,,24.57,
2001-02-07 18:30:00,,24.4,
2001-02-07 22:30:00,,24.52,
2001-02-08 14:30:00,,23.85,
2001-02-08 18:30:00,,24.03,
2001-02-08 22:30:00,,24.09,
2001-02-09 14:30:00,,24.67,
2001-02-09 18:30:00,,24.96,
2001-02-09 22:30:00,,25.15,
2001-02-12 14:30:00,,25.42,
2001-02-12 18:30:00,,24.68,
2001-02-12 22:30:00,,24.55,
2001-02-13 14:30:00,,24.79,
2001-02-13 18:30:00,,24.34,
2001-02-13 22:30:00,,24.62,
2001-02-14 14:30:00,,25.15,
2001-02-14 18:30:00,,24.84,
2001-02-14 22:30:00,,24.22,
2001-02-15 14:30:00,,24.13,
2001-02-15 18:30:00,,23.33,
2001-02-15 22:30:00,,23.46,
2001-02-16 14:30:00,,24.7,
2001-02-16 18:30:00,,25.0,
2001-02-16 22:30:00,,25.08,
2001-02-20 14:30:00,,26.28,
2001-02-20 18:30:00,,26.83,
