Dates,QQQ,VIX,VVIX
2000-01-03 14:30:00,93.078125,,
2000-01-03 18:30:00,94.75,,
2000-01-04 14:30:00,90.6875,,
2000-01-04 18:30:00,88.8125,,
2000-01-05 14:30:00,86.40625,,
2000-01-05 18:30:00,87.4375,,
2000-01-06 14:30:00,86.0,,
2000-01-06 18:30:00,83.5625,,
2000-01-07 14:30:00,85.75,,
2000-01-07 18:30:00,88.4375,,
2000-01-10 14:30:00,91.5,,
2000-01-10 18:30:00,92.46875,,
2000-01-11 14:30:00,90.9375,,
2000-01-11 18:30:00,88.28125,,
2000-01-12 14:30:00,88.3125,,
2000-01-12 18:30:00,87.0625,,
2000-01-13 14:30:00,88.09375,,
2000-01-13 18:30:00,90.125,,
2000-01-14 14:30:00,93.125,,
2000-01-14 18:30:00,92.5,,
2000-01-18 14:30:00,93.375,,
2000-01-18 18:30:00,93.875,,
2000-01-19 14:30:00,94.375,,
2000-01-19 18:30:00,94.75,,
2000-01-20 14:30:00,95.375,,
2000-01-20 18:30:00,95.796875,,
2000-01-21 14:30:00,96.25,,
2000-01-21 18:30:00,96.0625,,
2000-01-24 14:30:00,96.0,,
2000-01-24 18:30:00,91.5625,,
2000-01-25 14:30:00,91.15625,,
2000-01-25 18:30:00,93.625,,
2000-01-26 14:30:00,92.34375,,
2000-01-26 18:30:00,90.53125,,
2000-01-27 14:30:00,90.5,,
2000-01-27 18:30:00,89.96875,,
2000-01-28 14:30:00,87.1875,,
2000-01-28 18:30:00,86.125,,
2000-01-31 14:30:00,85.359375,,
2000-01-31 18:30:00,89.0,,
2000-02-01 14:30:00,91.359375,,
2000-02-01 18:30:00,92.15625,,
2000-02-02 14:30:00,93.109375,,
2000-02-02 18:30:00,92.9375,,
2000-02-03 14:30:00,94.515625,,
2000-02-03 18:30:00,96.125,,
2000-02-04 14:30:00,97.9375,,
2000-02-04 18:30:00,96.75,,
2000-02-07 14:30:00,96.640625,,
2000-02-07 18:30:00,98.25,,
2000-02-08 14:30:00,100.234375,,
2000-02-08 18:30:00,101.40625,,
2000-02-09 14:30:00,100.0625,,
2000-02-09 18:30:00,99.375,,
2000-02-10 14:30:00,101.03125,,
2000-02-10 18:30:00,102.03125,,
2000-02-11 14:30:00,100.75,,
2000-02-11 18:30:00,99.21875,,
2000-02-14 14:30:00,98.09375,,
2000-02-14 18:30:00,99.5,,
2000-02-15 14:30:00,97.40625,,
2000-02-15 18:30:00,99.875,,
2000-02-16 14:30:00,100.21875,,
2000-02-16 18:30:00,99.75,,
2000-02-17 14:30:00,102.625,,
2000-02-17 18:30:00,103.125,,
2000-02-18 14:30:00,101.0,,
2000-02-18 18:30:00,99.125,,
2000-02-22 14:30:00,97.765625,,
2000-02-22 18:30:00,98.84375,,
2000-02-23 14:30:00,101.71875,,
2000-02-23 18:30:00,104.21875,,
2000-02-24 14:30:00,104.28125,,
2000-02-24 18:30:00,106.140625,,
2000-02-25 14:30:00,105.75,,
2000-02-25 18:30:00,104.375,,
2000-02-28 14:30:00,102.125,,
2000-02-28 18:30:00,103.6875,,
2000-02-29 14:30:00,106.0,,
2000-02-29 18:30:00,106.59375,,
2000-03-01 14:30:00,107.75,,
2000-03-01 18:30:00,107.5625,,
2000-03-02 14:30:00,105.5625,,
