vvix_vix_ratio_min,vvix_vix_ratio_max,vix_min,vix_max,vvix_min,vvix_max,daily_return,number_of_days,max_return,min_return,freq_over_1,freq_under_1,annualized_return
2,3,20,30,80,100,-0.7057451865798425,4,0.9977056820218677,0.9835254163806496,0.0,0.25,0.1702276928050293
2,3,30,1000,80,100,0.20743330563333107,5,1.0287708037913277,0.9761327884858787,0.4,0.2,1.6787444276770431
2,3,30,1000,100,120,2.4841187067412562,1,1.0248411870674126,1.0248411870674126,1.0,0.0,461.46918711408216
2,3,30,1000,120,1000,-0.14052157579608204,23,1.0525977065293706,0.9134186104840732,0.4782608695652174,0.30434782608695654,0.7035959657358011
3,4,20,30,80,100,0.0940632501863492,101,1.0511303238608176,0.9526647369317215,0.33663366336633666,0.2871287128712871,1.2649689748699093
3,4,20,30,100,120,0.19146647884378254,33,1.0286835288739906,0.9611611243799375,0.30303030303030304,0.15151515151515152,1.613181858890325
3,4,30,1000,80,100,2.6530268458546447,2,1.036313895967621,1.016839006175499,1.0,0.0,696.5301105050245
3,4,30,1000,100,120,0.17666035163137472,40,1.0628625176359932,0.9622925384362216,0.35,0.3,1.5546667701143875
3,4,30,1000,120,1000,0.9119412799446724,46,1.0704742190440346,0.9453266233448967,0.5217391304347826,0.21739130434782608,9.67476074912972
4,5,10,20,80,100,0.5299606215714903,41,1.0446995686287828,0.9756631697926601,0.3170731707317073,0.0975609756097561,3.7486777591016724
4,5,20,30,80,100,-0.5562581811494827,29,1.0182576779496189,0.9511052828774823,0.13793103448275862,0.3448275862068966,0.24795012899639451
4,5,20,30,100,120,0.2687354083595439,127,1.03186990619714,0.9425254678986021,0.3228346456692913,0.13385826771653545,1.9560700834597706
4,5,20,30,120,1000,-0.5347478086518809,25,1.0317950169875425,0.9341380522676667,0.24,0.32,0.26172609630497484
4,5,30,1000,120,1000,-0.30463052139291236,24,1.0343282899849155,0.9665290739411343,0.25,0.4166666666666667,0.46638739913027216
5,6,10,20,80,100,0.2612079754655161,142,1.0350686700316938,0.9696930449423651,0.19718309859154928,0.09154929577464789,1.9196992839996088
5,6,10,20,100,120,0.18777692848006566,70,1.0239877688738928,0.9760174986329193,0.22857142857142856,0.14285714285714285,1.5983983873434127
5,6,20,30,100,120,0.05602956596233444,80,1.0276867442648887,0.9684811263362206,0.225,0.15,1.1503137004242596
5,6,20,30,120,1000,-0.4076448749273709,50,1.0235583907029622,0.9582830315224682,0.28,0.32,0.3601642761616516
6,7,10,20,80,100,-0.03149628466531107,140,1.0222429445160583,0.9726378218088692,0.1357142857142857,0.14285714285714285,0.9242680846979445
6,7,10,20,100,120,-0.24446283634607102,128,1.016702483610348,0.9557614041037815,0.078125,0.1796875,0.5423165884442661
6,7,10,20,120,1000,-0.7688376379625161,16,1.0107656557931581,0.9630439151844035,0.0625,0.3125,0.14521772973309713
6,7,20,30,120,1000,-1.412962568650722,11,1.0076483986165397,0.9419370578189802,0.0,0.45454545454545453,0.02850716531175004
7,8,10,20,80,100,-0.05052260507631967,11,1.0094136418029516,0.988578873086527,0.0,0.18181818181818182,0.8813165322543324
7,8,10,20,100,120,0.2836441001768497,8,1.0088793631353337,0.9933449231270712,0.0,0.0,2.030143486178807
7,8,10,20,120,1000,-0.6572422378730347,8,1.0044626465188533,0.9796624239070283,0.0,0.25,0.19233262906712476
7,8,20,30,120,1000,2.9478938569847735,1,1.0294789385698477,1.0294789385698477,1.0,0.0,1426.811250730857
