vvix_vix_ratio_min,vvix_vix_ratio_max,vix_min,vix_max,vvix_min,vvix_max,daily_return,number_of_days,max_return,min_return,freq_over_1,freq_under_1,annualized_return
2,3,0,1000,0,100,0.14115570782569087,11,1.0287708037913277,0.9761327884858787,0.2727272727272727,0.18181818181818182,1.422819465356915
2,3,0,1000,100,1000,-0.03251567438149472,24,1.0525977065293706,0.9134186104840732,0.5,0.2916666666666667,0.921914857916311
3,4,0,1000,0,100,0.20398483969779058,127,1.0511303238608176,0.9526647369317215,0.3543307086614173,0.25196850393700787,1.6643633580821529
3,4,0,1000,100,1000,0.46436653348251866,119,1.0704742190440346,0.9453266233448967,0.40336134453781514,0.226890756302521,3.1842895273565333
4,5,0,1000,0,100,0.05694875594526305,72,1.0446995686287828,0.9511052828774823,0.2361111111111111,0.20833333333333334,1.152958636233731
4,5,0,1000,100,1000,0.07591949323035863,176,1.0343282899849155,0.9341380522676667,0.30113636363636365,0.19886363636363635,1.2089191819817158
5,6,0,1000,0,100,0.3006268482316665,181,1.0350686700316938,0.9696930449423651,0.2154696132596685,0.08287292817679558,2.1179310097461093
5,6,0,1000,100,1000,-0.01405266851083331,200,1.0276867442648887,0.9582830315224682,0.24,0.19,0.9654758986561592
6,7,0,1000,0,100,0.019583273820655833,159,1.0222429445160583,0.9726378218088692,0.13836477987421383,0.12578616352201258,1.0501714025487165
6,7,0,1000,100,1000,-0.38205493358746123,155,1.016702483610348,0.9419370578189802,0.07096774193548387,0.2129032258064516,0.38405612845247206
7,8,0,1000,0,100,-0.05052260507631967,11,1.0094136418029516,0.988578873086527,0.0,0.18181818181818182,0.8813165322543324
7,8,0,1000,100,1000,-0.0061217555963333226,17,1.0294789385698477,0.9796624239070283,0.058823529411764705,0.11764705882352941,0.9848116666532714
